Артикул;Категория;Наименование;Описание;Цена в руб.;Ссылка
652516;Видеокарта PCI-E;Sinotex GeForce GT 210;1GB GDDR3 64bit 40nm 700/1333MHz D-Sub/HDMI/DVI-D RTL;2572;https://www.xcomspb.ru/sinotex_geforce_gt_210_652516.html
873467;Видеокарта PCI-E;Sinotex GeForce GT 610 Ninja (NK61NP013F);1GB DDR3 64bit 40nm 810/1000MHz DVI/HDMI/D-SUB RTL;3047;https://www.xcomspb.ru/sinotex_geforce_gt_610_ninja_nk61np013f_873467.html
873448;Видеокарта PCI-E;Afox GeForce GT 220 (AF220-1024D3L4);1GB DDR3 128bit 40nm 628/1600MHz DVI-D/HDMI/D-SUB RTL;3076;https://www.xcomspb.ru/afox_geforce_gt_220_af220-1024d3l4_873448.html
873464;Видеокарта PCI-E;Sinotex GeForce GT 220 Ninja (NH22NP013F);1GB DDR3 128bit 40nm 625/1600MHz DVI/HDMI/D-SUB RTL;3136;https://www.xcomspb.ru/sinotex_geforce_gt_220_ninja_nh22np013f_873464.html
873455;Видеокарта PCI-E;Afox Radeon R5 220 (AFR5220-2048D3L4);2GB DDR3 64bit 40nm 650/1066MHz DVI/HDMI/D-Sub RTL;3161;https://www.xcomspb.ru/afox_radeon_r5_220_afr5220-2048d3l4_873455.html
777644;Видеокарта PCI-E;Sinotex GeForce GT610;2GB GDDR3 64bit 40nm 810/1333MHz D-Sub/DVI-D/HDMI RTL;3352;https://www.xcomspb.ru/sinotex_geforce_gt610_777644.html
786102;Видеокарта PCI-E;Afox GeForce GT610;2GB DDR3 64bit 40nm 810/1000MHz D-Sub/DVI-D/HDMI RTL;3420;https://www.xcomspb.ru/afox_geforce_gt610_786102.html
873457;Видеокарта PCI-E;Sinotex Radeon R5 230 Ninja (AKR523023F);2GB DDR3 64bit 40nm 625/1333MHz DVI/HDMI/CRT RTL;3614;https://www.xcomspb.ru/sinotex_radeon_r5_230_ninja_akr523023f_873457.html
691867;Видеокарта PCI-E;Sinotex GeForce GT 730;2GB GDDR3 128bit 28nm 700/1333MHz HDMI/DVI-D/D-Sub RTL;5085;https://www.xcomspb.ru/sinotex_geforce_gt_730_691867.html
872819;Видеокарта PCI-E;GIGABYTE GeForce GT 710 (GV-N710D3-2GL 2.0);2GB DDR3 64bit 28nm 954/1600MHz DVI-D/HDMI/D-Sub;5456;https://www.xcomspb.ru/gigabyte_geforce_gt_710_gv-n710d3-2gl_20_872819.html
873460;Видеокарта PCI-E;Colorful GeForce GT 730 (GT730K 2GD3-V);2GB GDDR3 64bit 28nm 900/1800MHz D-Sub/DVI-D/HDMI RTL;5933;https://www.xcomspb.ru/colorful_geforce_gt_730_gt730k_2gd3-v_873460.html
481288;Видеокарта PCI-E;Palit GeForce GT 730;2GB GDDR3 64bit 28nm 902/1804MHz DVI-D(HDCP)/HDMI/VGA RTL;6023;https://www.xcomspb.ru/palit_geforce_gt_730_481288.html
691868;Видеокарта PCI-E;Sinotex GeForce GT 730;4GB GDDR3 128bit 28nm 700/1333MHz HDMI/DVI-D/D-Sub RTL;6236;https://www.xcomspb.ru/sinotex_geforce_gt_730_691868.html
798276;Видеокарта PCI-E;Sinotex Radeon R7 350;2GB GDDR5 128bit 28nm 800/3400MHz DVI/HDMI/CRT RTL;6706;https://www.xcomspb.ru/sinotex_radeon_r7_350_798276.html
786107;Видеокарта PCI-E;Afox GeForce GT730;4GB GDDR3 128bit 28nm 700/1333MHz D-Sub/DVI-D/HDMI RTL;6803;https://www.xcomspb.ru/afox_geforce_gt730_786107.html
873462;Видеокарта PCI-E;GIGABYTE GeForce GT 730 (GV-N730D3-2GI 3.0);2GB DDR3 64bit 28nm 902/1600MHz DVI-D/HDMI/D-SUB RTL;6915;https://www.xcomspb.ru/gigabyte_geforce_gt_730_gv-n730d3-2gi_30_873462.html
610382;Видеокарта PCI-E;GIGABYTE GeForce GT 730;2GB GDDR5 64bit 28nm 902/5000MHz DVI(HDCP)/HDMI RTL;7296;https://www.xcomspb.ru/gigabyte_geforce_gt_730_610382.html
538628;Видеокарта PCI-E;ASUS GeForce GT 730;2GB Silent Low Profile GDDR5 64bit 28nm 902/5010MHz DVI-D(HDCP)/HDMI/VGA RTL;7370;https://www.xcomspb.ru/asus_geforce_gt_730_538628.html
873459;Видеокарта PCI-E;ASUS GeForce GT 730 (GT730-4H-SL-2GD5);2GB GDDR5 64bit 28nm 954/5010MHz 4*HDMI;7866;https://www.xcomspb.ru/asus_geforce_gt_730_gt730-4h-sl-2gd5_873459.html
636091;Видеокарта PCI-E;GIGABYTE GeForce GT 1030;2GB Low Profile GDDR4 64bit 14nm DVI-D(HDCP)/HDMI RTL;8464;https://www.xcomspb.ru/gigabyte_geforce_gt_1030_636091.html
869177;Видеокарта PCI-E;PowerColor Radeon RX550 (AXRX 550 2GBD5-HLEV2);2GB GDDR5 64bit 14nm 1071/1500MHz DVI-D/HDMI (OEM, no disk);8858;https://www.xcomspb.ru/powercolor_radeon_rx550_axrx_550_2gbd5-hlev2_869177.html
652520;Видеокарта PCI-E;Sinotex GeForce GTX 750 Ti;2GB GDDR5 128bit 28nm 1020/5400MHz D-Sub/HDMI/DVI-D RTL;9507;https://www.xcomspb.ru/sinotex_geforce_gtx_750_ti_652520.html
623880;Видеокарта PCI-E;Palit GeForce GT 1030;2GB GDDR4 64bit 1151/2100MHz DVI-D(HDCP)/HDMI RTL;10275;https://www.xcomspb.ru/palit_geforce_gt_1030_623880.html
803926;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 1070/4000MHz 3*mDP;10358;https://www.xcomspb.ru/pny_quadro_p400_v2_803926.html
831714;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 1070/4012MHz OEM;10427;https://www.xcomspb.ru/pny_quadro_p400_v2_831714.html
831714;Видеокарта PCI-E;PNY Quadro P400 V2;2GB GDDR5 64bit 14nm 1070/4012MHz OEM;10427;https://www.xcomspb.ru/pny_quadro_p400_v2_831714.html
873465;Видеокарта PCI-E;Sinotex GeForce GT 740 Ninja (NH74NP045F);4GB GDDR5 128bit 28nm 1100/5000MHz DVI/HDMI/D-Sub RTL;10509;https://www.xcomspb.ru/sinotex_geforce_gt_740_ninja_nh74np045f_873465.html
